Time,MatchTime,LeftEncoderPosition,RightEncoderPosition,LeftVelocityCommand,RightVelocityCommand,LeftActualVelocity,RightActualVelocity,LeftLeadAppliedOutput,LeftFollowAppliedOutput,RightLeadAppliedOutput,RightFollowAppliedOutput,LeftLeadVoltage,LeftFollowVoltage,RightLeadVoltage,RightFollowVoltage,LeftLeadCurrent,LeftFollowCurrent,RightLeadCurrent,RightFollowCurrent
1.220495,-1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,0.000000,0.000000,11.906250,12.304688,12.281250,12.195312,0.000000,0.000000,0.000000,0.000000,
1.240400,-1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,0.000000,0.000000,11.906250,12.312500,12.265625,12.187500,0.000000,0.000000,0.000000,0.000000,
1.260458,-1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,0.000000,0.000000,11.914062,12.312500,12.265625,12.195312,0.000000,0.000000,0.000000,0.000000,
1.280327,-1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,0.000000,0.000000,11.906250,12.304688,12.281250,12.187500,0.000000,0.000000,0.000000,0.000000,
1.300483,-1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,0.000000,0.000000,11.906250,12.304688,12.265625,12.187500,0.000000,0.000000,0.000000,0.000000,
1.320521,-1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,0.000000,0.000000,11.898438,12.304688,12.265625,12.179688,0.000000,0.000000,0.000000,0.000000,
1.340289,-1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,0.000000,0.000000,11.906250,12.312500,12.281250,12.179688,0.000000,0.000000,0.000000,0.000000,
1.360472,-1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,0.000000,0.000000,11.906250,12.312500,12.265625,12.187500,0.000000,0.000000,0.000000,0.000000,
1.380440,-1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,0.000000,0.000000,11.906250,12.304688,12.257812,12.195312,0.000000,0.000000,0.000000,0.000000,
1.400455,-1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,0.000000,0.000000,11.906250,12.296875,12.281250,12.187500,0.000000,0.000000,0.000000,0.000000,
1.420443,-1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,0.000000,0.000000,11.898438,12.296875,12.265625,12.187500,0.000000,0.000000,0.000000,0.000000,
1.440470,-1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,0.000000,0.000000,11.906250,12.304688,12.265625,12.179688,0.000000,0.000000,0.000000,0.000000,
1.460399,-1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,0.000000,0.000000,11.906250,12.296875,12.281250,12.187500,0.000000,0.000000,0.000000,0.000000,
1.480330,-1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,0.000000,0.000000,11.906250,12.312500,12.265625,12.187500,0.000000,0.000000,0.000000,0.000000,
1.500444,-1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,0.000000,0.000000,11.906250,12.304688,12.265625,12.187500,0.000000,0.000000,0.000000,0.000000,
1.520372,-1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,0.000000,0.000000,11.906250,12.320312,12.273438,12.195312,0.000000,0.000000,0.000000,0.000000,
1.540292,-1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,0.000000,0.000000,11.906250,12.312500,12.265625,12.187500,0.000000,0.000000,0.000000,0.000000,
1.560349,-1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,0.000000,0.000000,11.906250,12.312500,12.265625,12.187500,0.000000,0.000000,0.000000,0.000000,
1.580467,-1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,0.000000,0.000000,11.898438,12.312500,12.281250,12.187500,0.000000,0.000000,0.000000,0.000000,
1.600361,-1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,0.000000,0.000000,11.906250,12.312500,12.265625,12.195312,0.000000,0.000000,0.000000,0.000000,
1.620362,-1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,0.000000,0.000000,11.898438,12.312500,12.265625,12.195312,0.000000,0.000000,0.000000,0.000000,
1.640322,-1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,0.000000,0.000000,11.906250,12.304688,12.289062,12.187500,0.000000,0.000000,0.000000,0.000000,
1.660644,-1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,0.000000,0.000000,11.906250,12.304688,12.265625,12.187500,0.000000,0.000000,0.000000,0.000000,
1.680301,-1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,0.000000,0.000000,11.906250,12.312500,12.265625,12.195312,0.000000,0.000000,0.000000,0.000000,
1.700445,-1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,0.000000,0.000000,11.906250,12.304688,12.281250,12.187500,0.000000,0.000000,0.000000,0.000000,
1.720379,-1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,0.000000,0.000000,11.898438,12.304688,12.265625,12.187500,0.000000,0.000000,0.000000,0.000000,
1.740396,-1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,0.000000,0.000000,11.898438,12.304688,12.265625,12.187500,0.000000,0.000000,0.000000,0.000000,
1.760250,-1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,0.000000,0.000000,11.898438,12.304688,12.281250,12.187500,0.000000,0.000000,0.000000,0.000000,
1.780279,-1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,0.000000,0.000000,11.898438,12.304688,12.265625,12.179688,0.000000,0.000000,0.000000,0.000000,
1.800339,-1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,0.000000,0.000000,11.906250,12.304688,12.265625,12.187500,0.000000,0.000000,0.000000,0.000000,
1.820247,-1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,0.000000,0.000000,11.906250,12.304688,12.281250,12.187500,0.000000,0.000000,0.000000,0.000000,
1.840311,-1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,0.000000,0.000000,11.898438,12.304688,12.257812,12.187500,0.000000,0.000000,0.000000,0.000000,
1.860272,-1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,0.000000,0.000000,11.898438,12.304688,12.257812,12.187500,0.000000,0.000000,0.000000,0.000000,
1.880308,-1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,0.000000,0.000000,11.914062,12.304688,12.273438,12.179688,0.000000,0.000000,0.000000,0.000000,
1.900346,-1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,0.000000,0.000000,11.898438,12.304688,12.257812,12.195312,0.000000,0.000000,0.000000,0.000000,
1.920258,-1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,0.000000,0.000000,11.906250,12.304688,12.265625,12.187500,0.000000,0.000000,0.000000,0.000000,
1.940338,-1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,0.000000,0.000000,11.898438,12.312500,12.281250,12.187500,0.000000,0.000000,0.000000,0.000000,
1.960281,-1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,0.000000,0.000000,11.906250,12.304688,12.265625,12.187500,0.000000,0.000000,0.000000,0.000000,
1.980312,-1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,0.000000,0.000000,11.906250,12.304688,12.265625,12.187500,0.000000,0.000000,0.000000,0.000000,
2.000421,-1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,0.000000,0.000000,11.906250,12.304688,12.289062,12.195312,0.000000,0.000000,0.000000,0.000000,
2.020365,-1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,0.000000,0.000000,11.914062,12.304688,12.265625,12.187500,0.000000,0.000000,0.000000,0.000000,
