Time,MatchTime,LeadRPM,LeadAppliedOutput,LeadBusVoltage,LeadCurrent
38.140013,-1.000000,0.000000,0.000000,12.234375,0.000000
38.159959,-1.000000,0.000000,0.000000,12.234375,0.000000
38.180122,-1.000000,0.000000,0.000000,12.234375,0.000000
38.200091,-1.000000,0.000000,0.000000,12.242188,0.000000
38.219870,-1.000000,0.000000,0.000000,12.226562,0.000000
38.240098,-1.000000,0.000000,0.000000,12.234375,0.000000
38.259972,-1.000000,0.000000,0.000000,12.234375,0.000000
38.280078,-1.000000,0.000000,0.000000,12.242188,0.000000
38.300037,-1.000000,0.000000,0.000000,12.242188,0.000000
38.319901,-1.000000,0.000000,0.000000,12.242188,0.000000
38.340015,-1.000000,0.000000,0.000000,12.234375,0.000000
38.360069,-1.000000,0.000000,0.000000,12.234375,0.000000
38.379946,-1.000000,0.000000,0.000000,12.234375,0.000000
38.400051,-1.000000,0.000000,0.000000,12.242188,0.000000
38.420171,-1.000000,0.000000,0.000000,12.242188,0.000000
38.440209,-1.000000,0.000000,0.000000,12.234375,0.000000
38.460022,-1.000000,0.000000,0.000000,12.234375,0.000000
38.480020,-1.000000,0.000000,0.000000,12.242188,0.000000
38.500178,-1.000000,0.000000,0.000000,12.234375,0.000000
38.520029,-1.000000,0.000000,0.000000,12.234375,0.000000
38.540000,-1.000000,0.000000,0.000000,12.242188,0.000000
38.560165,-1.000000,0.000000,0.000000,12.234375,0.000000
38.580087,-1.000000,0.000000,0.000000,12.234375,0.000000
38.599961,-1.000000,0.000000,0.000000,12.234375,0.000000
38.620107,-1.000000,0.000000,0.000000,12.234375,0.000000
38.639888,-1.000000,0.000000,0.000000,12.234375,0.000000
38.660147,-1.000000,0.000000,0.000000,12.234375,0.000000
38.680031,-1.000000,0.000000,0.000000,12.234375,0.000000
38.699975,-1.000000,0.000000,0.000000,12.234375,0.000000
38.720025,-1.000000,0.000000,0.000000,12.234375,0.000000
38.739899,-1.000000,0.000000,0.000000,12.234375,0.000000
38.760044,-1.000000,0.000000,0.000000,12.226562,0.000000
38.779930,-1.000000,0.000000,0.000000,12.226562,0.000000
38.799872,-1.000000,0.000000,0.000000,12.226562,0.000000
38.820074,-1.000000,0.000000,0.000000,12.226562,0.000000
38.840024,-1.000000,0.000000,0.000000,12.226562,0.000000
38.859982,-1.000000,0.000000,0.000000,12.226562,0.000000
38.880092,-1.000000,0.000000,0.000000,12.226562,0.000000
38.900245,-1.000000,0.000000,0.000000,12.226562,0.000000
38.920085,-1.000000,0.000000,0.000000,12.226562,0.000000
38.940050,-1.000000,0.000000,0.000000,12.234375,0.000000
38.959958,-1.000000,0.000000,0.000000,12.242188,0.000000
38.980057,-1.000000,0.000000,0.000000,12.234375,0.000000
39.000243,-1.000000,0.000000,0.000000,12.234375,0.000000
39.020222,-1.000000,0.000000,0.000000,12.234375,0.000000
39.040092,-1.000000,0.000000,0.000000,12.234375,0.000000
39.059987,-1.000000,0.000000,0.000000,12.242188,0.000000
39.079881,-1.000000,0.000000,0.000000,12.234375,0.000000
39.099883,-1.000000,0.000000,0.000000,12.242188,0.000000
39.119953,-1.000000,0.000000,0.000000,12.242188,0.000000
39.140085,-1.000000,0.000000,0.000000,12.242188,0.000000
39.159967,-1.000000,0.000000,0.000000,12.242188,0.000000
39.179880,-1.000000,0.000000,0.000000,12.234375,0.000000
39.199897,-1.000000,0.000000,0.000000,12.218750,0.000000
39.219901,-1.000000,0.000000,0.000000,12.234375,0.000000
39.239942,-1.000000,0.000000,0.000000,12.234375,0.000000
39.260038,-1.000000,0.000000,0.000000,12.234375,0.000000
39.280101,-1.000000,0.000000,0.000000,12.234375,0.000000
39.300135,-1.000000,0.000000,0.000000,12.226562,0.000000
39.320168,-1.000000,0.000000,0.000000,12.226562,0.000000
39.340214,-1.000000,0.000000,0.000000,12.226562,0.000000
39.360034,-1.000000,0.000000,0.000000,12.226562,0.000000
39.380200,-1.000000,0.000000,0.000000,12.234375,0.000000
39.399965,-1.000000,0.000000,0.000000,12.226562,0.000000
39.420043,-1.000000,0.000000,0.000000,12.226562,0.000000
39.440014,-1.000000,0.000000,0.000000,12.226562,0.000000
39.460026,-1.000000,0.000000,0.000000,12.226562,0.000000
39.479986,-1.000000,0.000000,0.000000,12.226562,0.000000
39.499855,-1.000000,0.000000,0.000000,12.226562,0.000000
39.520103,-1.000000,0.000000,0.000000,12.226562,0.000000
39.540104,-1.000000,0.000000,0.000000,12.234375,0.000000
39.560120,-1.000000,0.000000,0.000000,12.234375,0.000000
39.580178,-1.000000,0.000000,0.000000,12.234375,0.000000
39.600171,-1.000000,0.000000,0.000000,12.234375,0.000000
39.620067,-1.000000,0.000000,0.000000,10.937500,0.000000
39.640074,-1.000000,0.000000,0.000000,11.007812,0.000000
39.659946,-1.000000,0.000000,0.000000,11.304688,0.000000
39.679934,-1.000000,0.000000,0.000000,11.476562,0.000000
39.700101,-1.000000,0.000000,0.000000,11.625000,0.000000
39.720073,-1.000000,0.000000,0.000000,11.679688,0.000000
39.739959,-1.000000,0.000000,0.000000,11.765625,0.000000
39.759933,-1.000000,0.000000,0.000000,11.796875,0.000000
39.779895,-1.000000,0.000000,0.000000,11.851562,0.000000
39.800063,-1.000000,0.000000,0.000000,11.898438,0.000000
39.820006,-1.000000,0.000000,0.000000,11.906250,0.000000
39.840074,-1.000000,0.000000,0.000000,11.937500,0.000000
39.860077,-1.000000,0.000000,0.000000,11.945312,0.000000
39.879878,-1.000000,0.000000,0.000000,11.968750,0.000000
39.900099,-1.000000,0.000000,0.000000,11.976562,0.000000
39.919941,-1.000000,0.000000,0.000000,11.992188,0.000000
39.939998,-1.000000,0.000000,0.000000,12.007812,0.000000
39.959998,-1.000000,0.000000,0.000000,12.007812,0.000000
39.980267,-1.000000,0.000000,0.000000,12.007812,0.000000
40.000011,-1.000000,0.000000,0.000000,12.015625,0.000000
