Time,TargetLocked,VisionDriveActive,Distance,DistanceError,AngleError,Speed,Omega
12.660069,1,0,6.197471,3.802529,23.757881,0.000000,0.000000
12.680140,1,0,6.173599,3.826401,23.862953,0.000000,0.000000
12.700166,1,0,6.168506,3.831494,23.857040,0.000000,0.000000
12.720073,1,0,6.168506,3.831494,23.857040,0.000000,0.000000
12.740098,1,0,6.168506,3.831494,23.857040,0.000000,0.000000
12.760068,1,0,6.207267,3.792733,23.768539,0.000000,0.000000
12.780084,1,0,6.168506,3.831494,23.857040,0.000000,0.000000
12.800152,1,0,6.173599,3.826401,23.862953,0.000000,0.000000
12.820138,1,0,6.178696,3.821304,23.868874,0.000000,0.000000
12.840074,1,0,6.178696,3.821304,23.868874,0.000000,0.000000
12.860097,1,0,6.178696,3.821304,23.868874,0.000000,0.000000
12.880045,1,0,6.178696,3.821304,23.868874,0.000000,0.000000
12.900162,1,0,6.178696,3.821304,23.868874,0.000000,0.000000
12.920138,1,0,6.207267,3.792733,23.768539,0.000000,0.000000
12.940094,1,0,6.207267,3.792733,23.768539,0.000000,0.000000
12.960113,1,0,6.168506,3.831494,23.857040,0.000000,0.000000
12.980113,1,0,6.197471,3.802529,23.757881,0.000000,0.000000
13.000110,1,1,6.197471,3.802529,23.757881,0.000000,-1.187894
13.020161,1,1,6.168506,3.831494,23.857040,0.000000,-1.192852
13.040072,1,1,6.168506,3.831494,23.857040,0.000000,-1.192852
13.060123,1,1,6.207267,3.792733,23.768539,0.000000,-1.188427
13.080125,1,1,6.178696,3.821304,23.868874,0.000000,-1.193444
13.100177,1,1,6.168506,3.831494,23.857040,0.000000,-1.192852
13.120111,1,1,6.172785,3.827215,23.763054,0.000000,-1.188153
13.140097,1,1,6.195977,3.804023,23.689270,0.000000,-1.184464
13.160145,1,1,6.233011,3.766989,23.259850,0.000000,-1.162992
13.180170,1,1,6.304699,3.695301,22.785301,0.000000,-1.139265
13.200116,1,1,6.418250,3.581750,20.803192,0.000000,-1.040160
13.220247,1,1,6.519685,3.480315,19.251137,0.000000,-0.962557
13.240147,1,1,6.594476,3.405524,18.382126,0.000000,-0.919106
13.260108,1,1,6.762354,3.237646,16.550392,0.000000,-0.827520
13.280151,1,1,6.784401,3.215599,15.446152,0.000000,-0.772308
13.300124,1,1,7.010532,2.989468,11.896988,0.000000,-0.594849
13.320218,1,1,7.082803,2.917197,8.882027,0.000000,-0.444101
13.340096,1,1,7.117346,2.882654,7.389175,0.000000,-0.369459
13.360151,1,1,7.257447,2.742553,4.141815,0.000000,-0.207091
13.380183,1,1,7.214461,2.785539,2.331062,0.000000,-0.116553
13.400192,1,1,7.326830,2.673170,-1.493309,0.000000,0.074665
13.420116,1,1,7.326830,2.673170,-1.493309,0.000000,0.074665
13.440137,1,1,7.309585,2.690415,-4.040314,0.000000,0.202016
